,image,steering,is_flipped,random_shift,is_shift
0,IMG/left_2017_03_14_11_05_16_685.jpg,-0.0681657209286474,False,0,False
1,IMG/right_2017_03_14_11_05_16_685.jpg,-0.33183427907135266,False,0,False
2,IMG/center_2017_03_14_11_05_16_685.jpg,-0.2,False,0,False
3,IMG/left_2017_03_14_11_05_16_755.jpg,0.03683570147446741,False,0,False
4,IMG/right_2017_03_14_11_05_16_755.jpg,-0.1286230414744674,False,0,False
5,IMG/center_2017_03_14_11_05_16_755.jpg,-0.04589367,False,0,False
6,IMG/left_2017_03_14_11_05_17_084.jpg,-0.04084321802236415,False,0,False
7,IMG/right_2017_03_14_11_05_17_084.jpg,-0.2591567819776358,False,0,False
8,IMG/center_2017_03_14_11_05_17_084.jpg,-0.15,False,0,False
9,IMG/left_2017_03_14_11_05_17_151.jpg,-0.09907951416694344,False,0,False
10,IMG/right_2017_03_14_11_05_17_151.jpg,-0.46589808583305653,False,0,False
11,IMG/center_2017_03_14_11_05_17_151.jpg,-0.2824888,False,0,False
12,IMG/left_2017_03_14_11_05_17_218.jpg,-0.029994407240289844,False,0,False
13,IMG/right_2017_03_14_11_05_17_218.jpg,-0.23575179275971014,False,0,False
14,IMG/center_2017_03_14_11_05_17_218.jpg,-0.1328731,False,0,False
15,IMG/left_2017_03_14_11_05_17_536.jpg,0.03323964244195954,False,0,False
16,IMG/right_2017_03_14_11_05_17_536.jpg,-0.13323964244195954,False,0,False
17,IMG/center_2017_03_14_11_05_17_536.jpg,-0.05,False,0,False
18,IMG/left_2017_03_14_11_05_17_618.jpg,-0.08900893895101153,False,0,False
19,IMG/right_2017_03_14_11_05_17_618.jpg,-0.41099106104898847,False,0,False
20,IMG/center_2017_03_14_11_05_17_618.jpg,-0.25,False,0,False
21,IMG/left_2017_03_14_11_05_17_701.jpg,-0.0960357262183355,False,0,False
22,IMG/right_2017_03_14_11_05_17_701.jpg,-0.9039644737816646,False,0,False
23,IMG/center_2017_03_14_11_05_17_701.jpg,-0.5000001000000001,False,0,False
24,IMG/left_2017_03_14_11_05_17_791.jpg,-0.11291867281474777,False,0,False
25,IMG/right_2017_03_14_11_05_17_791.jpg,-0.6622197271852522,False,0,False
26,IMG/center_2017_03_14_11_05_17_791.jpg,-0.3875692,False,0,False
28,IMG/right_2017_03_14_11_05_17_869.jpg,-0.4055276646462097,False,0,False
29,IMG/center_2017_03_14_11_05_17_869.jpg,-0.24667600000000003,False,0,False
30,IMG/left_2017_03_14_11_05_17_959.jpg,-0.10812731427473277,False,0,False
31,IMG/right_2017_03_14_11_05_17_959.jpg,-0.7852248857252672,False,0,False
32,IMG/center_2017_03_14_11_05_17_959.jpg,-0.44667609999999996,False,0,False
33,IMG/left_2017_03_14_11_05_18_063.jpg,-0.11274509723260667,False,0,False
34,IMG/right_2017_03_14_11_05_18_063.jpg,-0.6355425027673933,False,0,False
35,IMG/center_2017_03_14_11_05_18_063.jpg,-0.3741438,False,0,False
36,IMG/left_2017_03_14_11_05_18_129.jpg,-0.05231612253991595,False,0,False
37,IMG/right_2017_03_14_11_05_18_129.jpg,-0.28684947746008405,False,0,False
38,IMG/center_2017_03_14_11_05_18_129.jpg,-0.1695828,False,0,False
40,IMG/right_2017_03_14_11_05_18_537.jpg,-0.2591567819776358,False,0,False
41,IMG/center_2017_03_14_11_05_18_537.jpg,-0.15,False,0,False
42,IMG/left_2017_03_14_11_05_18_605.jpg,-0.11125752034398262,False,0,False
43,IMG/right_2017_03_14_11_05_18_605.jpg,-0.5887424796560173,False,0,False
44,IMG/center_2017_03_14_11_05_18_605.jpg,-0.35,False,0,False
45,IMG/left_2017_03_14_11_05_18_679.jpg,-0.0654459605975248,False,0,False
46,IMG/right_2017_03_14_11_05_18_679.jpg,-0.3234272394024752,False,0,False
47,IMG/center_2017_03_14_11_05_18_679.jpg,-0.1944366,False,0,False
48,IMG/left_2017_03_14_11_05_18_905.jpg,-0.0681657209286474,False,0,False
49,IMG/right_2017_03_14_11_05_18_905.jpg,-0.33183427907135266,False,0,False
50,IMG/center_2017_03_14_11_05_18_905.jpg,-0.2,False,0,False
51,IMG/left_2017_03_14_11_05_18_989.jpg,0.07882020725385255,False,0,False
52,IMG/right_2017_03_14_11_05_18_989.jpg,-0.08118341125385256,False,0,False
53,IMG/center_2017_03_14_11_05_18_989.jpg,-0.001181602,False,0,False
54,IMG/left_2017_03_14_11_05_19_122.jpg,-0.007041430232161847,False,0,False
55,IMG/right_2017_03_14_11_05_19_122.jpg,-0.19295856976783815,False,0,False
56,IMG/center_2017_03_14_11_05_19_122.jpg,-0.1,False,0,False
57,IMG/left_2017_03_14_11_05_19_189.jpg,-0.08900893895101153,False,0,False
58,IMG/right_2017_03_14_11_05_19_189.jpg,-0.41099106104898847,False,0,False
59,IMG/center_2017_03_14_11_05_19_189.jpg,-0.25,False,0,False
60,IMG/left_2017_03_14_11_05_19_256.jpg,-0.07842275982301705,False,0,False
61,IMG/right_2017_03_14_11_05_19_256.jpg,-0.366935440176983,False,0,False
62,IMG/center_2017_03_14_11_05_19_256.jpg,-0.22267910000000002,False,0,False
63,IMG/left_2017_03_14_11_05_19_338.jpg,0.0796546861585663,False,0,False
64,IMG/right_2017_03_14_11_05_19_338.jpg,-0.0803456231585663,False,0,False
65,IMG/center_2017_03_14_11_05_19_338.jpg,-0.0003454685,False,0,False
66,IMG/left_2017_03_14_11_05_19_406.jpg,-0.06833197880768457,False,0,False
67,IMG/right_2017_03_14_11_05_19_406.jpg,-0.3323590211923154,False,0,False
68,IMG/center_2017_03_14_11_05_19_406.jpg,-0.20034549999999998,False,0,False
69,IMG/left_2017_03_14_11_05_19_475.jpg,-0.06621909641305493,False,0,False
70,IMG/right_2017_03_14_11_05_19_475.jpg,-0.3257839035869451,False,0,False
71,IMG/center_2017_03_14_11_05_19_475.jpg,-0.19600150000000002,False,0,False
72,IMG/left_2017_03_14_11_05_19_726.jpg,-0.08900893895101153,False,0,False
73,IMG/right_2017_03_14_11_05_19_726.jpg,-0.41099106104898847,False,0,False
